Category: All categories
"Metaverse: (3/23/20 - 12/27/21, United States)"

TOP
Metaverse,100
Cryptocurrency,10
Meta,7
Real Estate,4
Non-fungible token,4
Mark Zuckerberg,4
Coin,4
Roblox,3
Investment,3
Decentraland,2
Virtual reality,2
The Sandbox,2
Exchange-traded fund,2
Sandbox,2
Meta,2
Decentraland,1
Ethereum,1
Token coin,1
Roundhill Ball Metaverse ETF,1
Name change,1
Oculus VR,1
Oculus Quest,1
OpenSea,1

RISING
Meta,Breakout
Real Estate,Breakout
Non-fungible token,Breakout
Mark Zuckerberg,Breakout
Roblox,Breakout
Investment,Breakout
Decentraland,Breakout
The Sandbox,Breakout
Exchange-traded fund,Breakout
Sandbox,Breakout
Meta,Breakout
Decentraland,Breakout
Ethereum,Breakout
Token coin,Breakout
Roundhill Ball Metaverse ETF,Breakout
Name change,Breakout
Oculus VR,Breakout
Oculus Quest,Breakout
OpenSea,Breakout
Cryptocurrency,+650%
Coin,+200%
Metaverse,+150%

